Main Image Loaded: /binary/FoxDec/foxdec/examples/tar/tar, Base Address: 0x55b7b7c89000
0xae69, 0x55b7b7d07ec8, 0x7fffadace8b0
0xae73, 0x55b7b7d07ec0, 0x7fffadace8b0
0xae7e, 0x55b7b7d08954, 0x7fffadace8b0
0xae85, 0x55b7b7d08950, 0x7fffadace8b0
0xae8f, 0x55b7b7d08570, 0x7fffadace8b0
0xaec2, 0x7fffadace8a8, 0x7fffadace8b0
0xaec7, 0x7fffadace908, 0x7fffadace8b0
0xaed1, 0x7fffadace900, 0x7fffadace8b0
0xaedc, 0x7fffadace910, 0x7fffadace8b0
0xaee5, 0x7fffadace918, 0x7fffadace8b0
0xafd8, 0x7fffadace8a8, 0x7fffadace8b0
0x42244, 0x7fffadace8a0, 0x7fffadace8a8
0x42248, 0x7fffadace898, 0x7fffadace8a0
0x4224d, 0x7fffadace890, 0x7fffadace898
0x42252, 0x7fffadace888, 0x7fffadace890
0x42257, 0x7fffadace880, 0x7fffadace888
0x42259, 0x7fffadace878, 0x7fffadace880
0x42263, 0x7fffadace720, 0x7fffadace720
0x4226a, 0x7fffadace730, 0x7fffadace720
0x4227a, 0x7fffadace868, 0x7fffadace720
0x422b1, 0x7fffadace72c, 0x7fffadace720
0x42334, 0x7fffadace718, 0x7fffadace690
0x42367, 0x7fffadace688, 0x7fffadace650
0x42380, 0x7fffadace690, 0x7fffadace650
0x42380, 0x7fffadace698, 0x7fffadace650
0x42380, 0x7fffadace6a0, 0x7fffadace650
0x42380, 0x7fffadace6a8, 0x7fffadace650
0x42380, 0x7fffadace6b0, 0x7fffadace650
0x42380, 0x7fffadace6b8, 0x7fffadace650
0x42380, 0x7fffadace6c0, 0x7fffadace650
0x42380, 0x7fffadace6c8, 0x7fffadace650
0x42380, 0x7fffadace6d0, 0x7fffadace650
0x42380, 0x7fffadace6d8, 0x7fffadace650
0x42380, 0x7fffadace6e0, 0x7fffadace650
0x42380, 0x7fffadace6e8, 0x7fffadace650
0x42380, 0x7fffadace6f0, 0x7fffadace650
0x42380, 0x7fffadace6f8, 0x7fffadace650
0x42380, 0x7fffadace700, 0x7fffadace650
0x42380, 0x7fffadace708, 0x7fffadace650
0x4238a, 0x7fffadace670, 0x7fffadace650
0x4238f, 0x7fffadace680, 0x7fffadace650
0x42397, 0x7fffadace670, 0x7fffadace650
0x4239b, 0x7fffadace650, 0x7fffadace650
0x4239f, 0x7fffadace660, 0x7fffadace650
0x423a9, 0x7fffadace690, 0x7fffadace650
0x423be, 0x7fffadace6b0, 0x7fffadace650
0x423d6, 0x7fffadace6d0, 0x7fffadace650
0x423da, 0x7fffadace6f0, 0x7fffadace650
0x423e4, 0x7fffadace750, 0x7fffadace650
0x423eb, 0x7fffadace758, 0x7fffadace650
0x423f6, 0x7fffadace760, 0x7fffadace650
0x42401, 0x7fffadace768, 0x7fffadace650
0x42416, 0x7fffadace648, 0x7fffadace650
0x38290, 0x7fffadace640, 0x7fffadace648
0x38291, 0x7fffadace638, 0x7fffadace640
0x38311, 0x7fffadace628, 0x7fffadace630
0x38290, 0x7fffadace620, 0x7fffadace628
0x38291, 0x7fffadace618, 0x7fffadace620
0x382a5, 0x7fffadace760, 0x7fffadace610
0x382d9, 0x7fffadace758, 0x7fffadace610
0x382df, 0x7fffadace750, 0x7fffadace610
0x38311, 0x7fffadace608, 0x7fffadace610
0x38290, 0x7fffadace600, 0x7fffadace608
0x38291, 0x7fffadace5f8, 0x7fffadace600
0x382a5, 0x7fffadace760, 0x7fffadace5f0
0x382d9, 0x7fffadace758, 0x7fffadace5f0
0x382df, 0x7fffadace750, 0x7fffadace5f0
0x3831a, 0x7fffadace768, 0x7fffadace610
0x3831a, 0x7fffadace768, 0x7fffadace630
0x38311, 0x7fffadace628, 0x7fffadace630
0x38290, 0x7fffadace620, 0x7fffadace628
0x38291, 0x7fffadace618, 0x7fffadace620
0x382a5, 0x7fffadace760, 0x7fffadace610
0x382d9, 0x7fffadace758, 0x7fffadace610
0x382df, 0x7fffadace750, 0x7fffadace610
0x3831a, 0x7fffadace768, 0x7fffadace630
0x38311, 0x7fffadace628, 0x7fffadace630
0x38290, 0x7fffadace620, 0x7fffadace628
0x38291, 0x7fffadace618, 0x7fffadace620
0x382a5, 0x7fffadace760, 0x7fffadace610
0x382d9, 0x7fffadace758, 0x7fffadace610
0x382df, 0x7fffadace750, 0x7fffadace610
0x3831a, 0x7fffadace768, 0x7fffadace630
0x42461, 0x7fffadace738, 0x7fffadace650
0x42468, 0x7fffadace740, 0x7fffadace650
0x4246f, 0x7fffadace748, 0x7fffadace650
0x42476, 0x7fffadace648, 0x7fffadace650
0x4248c, 0x7fffadace860, 0x7fffadace650
0x424aa, 0x7fffadace7e0, 0x7fffadace650
